"ID";"BedrijfstakkenWoningen";"RegioS";"Perioden";"AantalInstallaties_1";"OpgesteldVermogenVanZonnepanelen_2"
"264";"E007161";"GM0202";"2017JJ00";"    3365";"   13946"
"265";"E007161";"GM0202";"2018JJ00";"    5127";"   21856"
"266";"E007161";"GM0106";"2012JJ00";"     350";"    1178"
"267";"E007161";"GM0106";"2013JJ00";"     752";"    2893"
"268";"E007161";"GM0106";"2014JJ00";"    1123";"    4642"
"269";"E007161";"GM0106";"2015JJ00";"    1657";"    6605"
"270";"E007161";"GM0106";"2016JJ00";"    2828";"   12069"
"271";"E007161";"GM0106";"2017JJ00";"    4082";"   16352"
"272";"E007161";"GM0106";"2018JJ00";"    4928";"   23552"
"273";"E007161";"GM0743";"2012JJ00";"      65";"     326"
"274";"E007161";"GM0743";"2013JJ00";"     160";"     937"
"275";"E007161";"GM0743";"2014JJ00";"     240";"    1566"
"276";"E007161";"GM0743";"2015JJ00";"     341";"    3584"
"277";"E007161";"GM0743";"2016JJ00";"     439";"    4598"
"278";"E007161";"GM0743";"2017JJ00";"     559";"    6792"
"279";"E007161";"GM0743";"2018JJ00";"     813";"    9573"
"280";"E007161";"GM0744";"2012JJ00";"      19";"     158"
"281";"E007161";"GM0744";"2013JJ00";"      50";"     333"
"282";"E007161";"GM0744";"2014JJ00";"      64";"     506"
"283";"E007161";"GM0744";"2015JJ00";"      86";"     716"
"284";"E007161";"GM0744";"2016JJ00";"     127";"    1193"
"285";"E007161";"GM0744";"2017JJ00";"     191";"    1510"
"286";"E007161";"GM0744";"2018JJ00";"     252";"    2546"
"287";"E007161";"GM0308";"2012JJ00";"      73";"     216"
"288";"E007161";"GM0308";"2013JJ00";"     157";"     529"
"289";"E007161";"GM0308";"2014JJ00";"     336";"    1061"
"290";"E007161";"GM0308";"2015JJ00";"     535";"    1502"
"291";"E007161";"GM0308";"2016JJ00";"     796";"    2183"
"292";"E007161";"GM0308";"2017JJ00";"    1099";"    3114"
"293";"E007161";"GM0308";"2018JJ00";"    1293";"    3814"
"294";"E007161";"GM0489";"2012JJ00";"     155";"     359"
"295";"E007161";"GM0489";"2013JJ00";"     280";"     727"
"296";"E007161";"GM0489";"2014JJ00";"     518";"    1493"
"297";"E007161";"GM0489";"2015JJ00";"     717";"    2209"
"298";"E007161";"GM0489";"2016JJ00";"     921";"    2931"
"299";"E007161";"GM0489";"2017JJ00";"    1072";"    4845"
"300";"E007161";"GM0489";"2018JJ00";"    1355";"    8204"
"301";"E007161";"GM0203";"2012JJ00";"     153";"     788"
"302";"E007161";"GM0203";"2013JJ00";"     439";"    2793"
"303";"E007161";"GM0203";"2014JJ00";"     661";"    4074"
"304";"E007161";"GM0203";"2015JJ00";"     928";"    6277"
"305";"E007161";"GM0203";"2016JJ00";"    1240";"    8022"
"306";"E007161";"GM0203";"2017JJ00";"    1804";"   11437"
"307";"E007161";"GM0203";"2018JJ00";"    2719";"   19614"
"308";"E007161";"GM0005";"2012JJ00";"      53";"     165"
"309";"E007161";"GM0005";"2013JJ00";"     133";"     467"
"310";"E007161";"GM0005";"2014JJ00";"     208";"     806"
"311";"E007161";"GM0005";"2015JJ00";"     918";"    2820"
"312";"E007161";"GM0005";"2016JJ00";"    1113";"    3439"
"313";"E007161";"GM0005";"2017JJ00";"    1265";"    3973"
"314";"E007161";"GM0005";"2018JJ00";"    1361";"    4476"
"315";"E007161";"GM0888";"2012JJ00";"     158";"     495"
"316";"E007161";"GM0888";"2013JJ00";"     254";"     875"
"317";"E007161";"GM0888";"2014JJ00";"     342";"    1201"
"318";"E007161";"GM0888";"2015JJ00";"     572";"    2261"
"319";"E007161";"GM0888";"2016JJ00";"     709";"    3156"
"320";"E007161";"GM0888";"2017JJ00";"     925";"    3938"
"321";"E007161";"GM0888";"2018JJ00";"    1347";"    5413"
"322";"E007161";"GM0370";"2012JJ00";"      64";"     399"
"323";"E007161";"GM0370";"2013JJ00";"     135";"     743"
"324";"E007161";"GM0370";"2014JJ00";"     177";"     948"
"325";"E007161";"GM0370";"2015JJ00";"     241";"    1291"
"326";"E007161";"GM0370";"2016JJ00";"     363";"    1976"
"327";"E007161";"GM0370";"2017JJ00";"     451";"    2580"
"328";"E007161";"GM0370";"2018JJ00";"     537";"    2913"
"329";"E007161";"GM0889";"2012JJ00";"      81";"     470"
"330";"E007161";"GM0889";"2013JJ00";"     168";"     818"
"331";"E007161";"GM0889";"2014JJ00";"     220";"    1116"
"332";"E007161";"GM0889";"2015JJ00";"     428";"    1878"
"333";"E007161";"GM0889";"2016JJ00";"     606";"    2574"
"334";"E007161";"GM0889";"2017JJ00";"     775";"    3273"
"335";"E007161";"GM0889";"2018JJ00";"     960";"    4369"
"336";"E007161";"GM1945";"2012JJ00";"     154";"     473"
"337";"E007161";"GM1945";"2013JJ00";"     360";"    1507"
"338";"E007161";"GM1945";"2014JJ00";"     550";"    2573"
"339";"E007161";"GM1945";"2015JJ00";"     731";"    3427"
"340";"E007161";"GM1945";"2016JJ00";"     877";"    4187"
"341";"E007161";"GM1945";"2017JJ00";"    1179";"    5465"
"342";"E007161";"GM1945";"2018JJ00";"    1814";"    8198"
"343";"E007161";"GM1724";"2012JJ00";"      76";"     460"
"344";"E007161";"GM1724";"2013JJ00";"     198";"    1114"
"345";"E007161";"GM1724";"2014JJ00";"     302";"    1694"
"346";"E007161";"GM1724";"2015JJ00";"     398";"    2540"
"347";"E007161";"GM1724";"2016JJ00";"     512";"    4451"
"348";"E007161";"GM1724";"2017JJ00";"     662";"    5386"
"349";"E007161";"GM1724";"2018JJ00";"     953";"    9057"
"350";"E007161";"GM0893";"2012JJ00";"      64";"     267"
"351";"E007161";"GM0893";"2013JJ00";"     162";"     792"
"352";"E007161";"GM0893";"2014JJ00";"     215";"    1072"
"353";"E007161";"GM0893";"2015JJ00";"     285";"    1637"
"354";"E007161";"GM0893";"2016JJ00";"     398";"    2265"
"355";"E007161";"GM0893";"2017JJ00";"     530";"    3150"
"356";"E007161";"GM0893";"2018JJ00";"     678";"    4009"
"357";"E007161";"GM0373";"2012JJ00";"     193";"     410"
"358";"E007161";"GM0373";"2013JJ00";"     489";"    1345"
"359";"E007161";"GM0373";"2014JJ00";"     733";"    2082"
"360";"E007161";"GM0373";"2015JJ00";"     875";"    2843"
"361";"E007161";"GM0373";"2016JJ00";"    1053";"    3869"
"362";"E007161";"GM0373";"2017JJ00";"    1408";"    5434"
"363";"E007161";"GM0373";"2018JJ00";"    2329";"    7983"
"364";"E007161";"GM0748";"2012JJ00";"     803";"    1398"
"365";"E007161";"GM0748";"2013JJ00";"    1530";"    2763"
"366";"E007161";"GM0748";"2014JJ00";"    2005";"    4152"
"367";"E007161";"GM0748";"2015JJ00";"    2428";"    5214"
"368";"E007161";"GM0748";"2016JJ00";"    2787";"    6393"
"369";"E007161";"GM0748";"2017JJ00";"    3347";"    8258"
"370";"E007161";"GM0748";"2018JJ00";"    3940";"   11217"
"371";"E007161";"GM1859";"2012JJ00";"     266";"    1472"
"372";"E007161";"GM1859";"2013JJ00";"     671";"    3835"
